Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
,,,,,,,,,,,,,,
BMW,325i 4dr,Sedan,Europe,Rear,"$28,495","$26,155",2.5,6,184,20,29,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,"$30,795","$28,245",2.5,6,184,20,29,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,"$37,995","$34,800",2.5,6,184,19,27,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,"$30,245","$27,745",2.5,6,184,19,27,3461,107,176
BMW,330i 4dr,Sedan,Europe,Rear,"$35,495","$32,525",3,6,225,20,30,3285,107,176
BMW,330Ci 2dr,Sedan,Europe,Rear,"$36,995","$33,890",3,6,225,20,30,3285,107,176
BMW,330xi 4dr,Sedan,Europe,All,"$37,245","$34,115",3,6,225,20,29,3483,107,176
BMW,525i 4dr,Sedan,Europe,Rear,"$39,995","$36,620",2.5,6,184,19,28,3428,114,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,"$44,295","$40,530",3,6,225,19,28,3616,107,177
BMW,530i 4dr,Sedan,Europe,Rear,"$44,995","$41,170",3,6,225,20,30,3472,114,191
BMW,545iA 4dr,Sedan,Europe,Rear,"$54,995","$50,270",4.4,8,325,18,26,3814,114,191
BMW,745i 4dr,Sedan,Europe,Rear,"$69,195","$63,190",4.4,8,325,18,26,4376,118,198
BMW,745Li 4dr,Sedan,Europe,Rear,"$73,195","$66,830",4.4,8,325,18,26,4464,123,204
